SNR_in_dB,SNR_out_dB,StdDev_dB,modulation_type,num_trials
-10.00,-9.51,0.20,AM,1000
-5.00,-5.81,0.17,AM,1000
0.00,-3.26,0.13,AM,1000
5.00,-1.89,0.11,AM,1000
10.00,-1.33,0.07,AM,1000
15.00,-1.14,0.04,AM,1000
20.00,-1.06,0.02,AM,1000
25.00,-1.01,0.01,AM,1000
30.00,-0.98,0.01,AM,1000
35.00,-0.97,0.00,AM,1000
-10.00,-19.02,1.48,FM,1000
-5.00,-18.71,1.65,FM,1000
0.00,-18.16,1.41,FM,1000
5.00,-18.46,1.36,FM,1000
10.00,-19.01,0.84,FM,1000
15.00,-18.97,0.12,FM,1000
20.00,-18.96,0.05,FM,1000
25.00,-18.96,0.03,FM,1000
30.00,-18.96,0.02,FM,1000
35.00,-18.96,0.01,FM,1000
